"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"397083781804220417","","","2013-11-03 19:32:05 +0000","web","We only need 150 more votes to be eligible for a Chase small business grant. Please take 5 seconds to help. Thanks! https://t.co/FCC6kPJlYq","","","","https://www.missionmainstreetgrants.com/business/detail/53622"
"395953308319240192","","","2013-10-31 16:39:59 +0000","web","Happy Halloween from Angaza! Alternative use of our SoLite3 light? Lighting logo pumpkins! --&gt; http://t.co/KOgvz3epSZ","","","","http://twitter.com/angazadesign/status/395953308319240192/photo/1"
"395675483951464449","","","2013-10-30 22:16:01 +0000","web","ANGAZA IS HIRING for a number of positions (Software Engr, Wireless Engr, and Visual Designer) in our SF office! http://t.co/2MpUfiIfZ3","","","","http://www.angazadesign.com/contact-us/"
"395584537280786432","395530048851439616","471922198","2013-10-30 16:14:37 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","See you in TZ! “@Cam_Tellez: Off to #tanzania for @cgap technology programme partner event and then @GSMAm4d summit in Cape Town”","","","",""
"390993481457336320","","","2013-10-18 00:11:24 +0000","web","Love visual design and emerging markets? Apply to be an Angaza Visual Design Fellow! http://t.co/SMnSdrqghu","","","","http://www.angazadesign.com/jobs/visual-design-fellow/"
"390885608018546688","","","2013-10-17 17:02:45 +0000","web","Please vote for us to be eligible for a $250k Chase grant. We only need 250, so your vote really counts! https://t.co/FCC6kPJlYq","","","","https://www.missionmainstreetgrants.com/business/detail/53622"
"390171223805538305","","","2013-10-15 17:44:03 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @lisa_ferg: 10 Incredible Millennials You've Never Met: http://t.co/AX0aYPaAwC featuring @angazadesign's Lesley Marincola","390167983768604672","256240026","2013-10-15 17:31:10 +0000","http://lisaferguson.tv/incredible-millennials/,http://lisaferguson.tv/incredible-millennials/"
"388332180046221313","388290233017434114","437543648","2013-10-10 15:56:21 +0000","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Congrats! “@JohnAKeane: #SunnyMoney has now sold &gt;700,000 #solar lights. 532,368 in last 12 mnths! That's 1 light a minute @SolarAid""","","","",""
"378208673354350593","","","2013-09-12 17:29:09 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @DIVatUSAID: #DidYouKnow East Africa has 300 mil+ offgrid consumers? Check out @angazadesign's clean energy solution! http://t.co/veU9ie…","378135705030914048","355550021","2013-09-12 12:39:12 +0000","http://tmblr.co/ZOfcasumWYOE,http://tmblr.co/ZOfcasumWYOE"
"377848523523239937","","","2013-09-11 17:38:02 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @DIVatUSAID: New @DIVatUSAID project @angazadesign will test PayAsYouGo financing to make offgrid #energy affordable 4 all! http://t.co/…","377845159385235456","355550021","2013-09-11 17:24:40 +0000","http://tmblr.co/ZOfcasumWYOE,http://tmblr.co/ZOfcasumWYOE"
"377836245797187584","","","2013-09-11 16:49:15 +0000","web","We're honored to join the portfolio @DIVatUSAID. Find out a bit more about our project here: http://t.co/nqrPtoAGLh","","","","http://www.angazadesign.com/wp-content/uploads/2013/09/Angaza_DIV_Release.pdf"
"375662671527280640","","","2013-09-05 16:52:15 +0000","web","Terrific to touch base with so many colleagues at the #energy access event last night. Thanks to @EnergyAccessSF for organizing!","","","",""
"372033903608877056","","","2013-08-26 16:32:49 +0000","web","RT @women2: PITCH Finalist: Winning Is Helping Us Bring Solar Power to Africa http://t.co/Cw8lxni1BS An interview with the co-founder of @a…","371988292407152640","14410280","2013-08-26 13:31:34 +0000","http://po.st/AqoVrY,http://po.st/AqoVrY"
"370989770790297601","","","2013-08-23 19:23:48 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @solarmosaic: 5 Market Innovations Revolutionizing Solar Energy in the Developing World http://t.co/k1mqGnaAF0 @Solar_Sister @simpanetwo…","370986877467512832","178968386","2013-08-23 19:12:18 +0000","http://mos.ai/13MeXKY,http://mos.ai/13MeXKY"
"368481671026188290","","","2013-08-16 21:17:31 +0000","web","#FF @EnergyAccessSF A great new group bringing together the Energy Access community in the Bay. Looking forward to the upcoming happy hour!","","","",""
"367454954203512832","","","2013-08-14 01:17:42 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","RT @LinseedCapital: Leslie Marincola founder of @angazadesign describes novel  #solar technology in #Nebraska thanks to @Kalinder http://t.…","367453673225347072","942037549","2013-08-14 01:12:37 +0000","http://twitter.com/LinseedCapital/status/367453673225347072/photo/1,http://twitter.com/LinseedCapital/status/367453673225347072/photo/1"
"360085761770532866","","","2013-07-24 17:15:10 +0000","web","We need to find #hardware #startup friendly office space in SF or the Peninsula by the end of August. Any suggestions?","","","",""
